2005,debris burning,ruralist-paying,0.02,43.3225,-124.1895
2005,debris burning,ruralist-paying,4.6,45.0555,-123.63616
2005,juveniles,recreationist,0.2,42.39433,-123.02583
2005,miscellaneous,other-public,0.01,43.955,-123.2885
2005,lightning,lightning,8.0,44.3365,-122.19316
2005,arson,motorist,0.01,45.48433,-123.20733
2005,lightning,lightning,167.0,43.82116,-118.904
2005,equipment use,public utility,0.01,44.9935,-118.10833
2005,arson,other-public,0.55,43.65916,-121.44066
2005,equipment use,other-landowner related,0.01,43.73983,-124.0775
2005,debris burning,other-landowner related,0.01,45.3845,-122.24833
2005,equipment use,public utility,0.01,44.6,-123.46666
2005,lightning,lightning,0.01,44.66266,-123.90383
2005,equipment use,ruralist-non-paying,0.01,44.06533,-123.35933
2005,equipment use,motorist,0.02,45.3035,-123.37283
2005,equipment use,motorist,0.01,45.51016,-121.55816
2005,recreation,recreationist,0.01,45.00566,-122.48583
2005,equipment use,motorist,0.25,42.57183,-124.054
2005,miscellaneous,other-public,0.01,45.58333,-123.53
2005,equipment use,public utility,0.01,44.53733,-123.65816
2005,equipment use,recreationist,0.11,45.15816,-123.68983
2005,recreation,recreationist,0.01,44.8355,-123.50833
2005,lightning,lightning,0.01,44.66266,-123.89583
2005,equipment use,other-landowner related,0.01,42.21933,-122.71583
2005,lightning,lightning,90.0,44.60616,-118.07316
2005,lightning,lightning,0.25,44.94833,-119.17966
2005,debris burning,ruralist-paying,0.01,45.58466,-121.62383
2005,recreation,recreationist,0.1,45.33333,-117.21666
2005,equipment use,public utility,0.03,46.07033,-122.902
2005,debris burning,other-public,0.01,42.87666,-124.07
2005,recreation,recreationist,0.01,44.957,-122.40533
2005,lightning,lightning,1.6,42.00366,-120.95233
2005,miscellaneous,other-landowner related,0.9,44.27383,-121.52533
2005,lightning,lightning,838.0,45.10216,-118.5165
2005,lightning,lightning,25.5,44.24416,-120.6235
2005,recreation,recreationist,0.25,46.192,-123.48683
2005,lightning,lightning,0.5,42.12333,-121.3575
2005,smoking,motorist,0.5,42.30083,-122.92016
2005,equipment use,ruralist-paying,0.05,45.36316,-123.256
2005,debris burning,ruralist-paying,0.01,44.0735,-124.09266
2005,railroad,public utility,0.01,45.704,-121.49516
2005,debris burning,other forest mgt. worker,0.1,45.94483,-117.28216
2005,equipment use,public utility,0.25,46.023,-122.88
2005,miscellaneous,rancher-farmer,1.9,43.13333,-124.095
2005,lightning,lightning,0.3,44.61333,-117.60666
2005,debris burning,ruralist-paying,0.01,44.23333,-122.81666
2005,recreation,recreationist,0.1,42.29116,-120.44233
2005,lightning,lightning,0.1,44.54033,-120.80583
2005,lightning,lightning,895.0,44.768,-119.952
2005,debris burning,ruralist-paying,0.25,44.73583,-123.30933
2005,debris burning,other forest mgt. worker,10.0,44.89166,-123.98166
2005,miscellaneous,recreationist,0.1,42.54383,-123.51333
2005,equipment use,motorist,0.1,42.218,-121.59983
